,RUID,Assigned Rooms
0,883053469,"['BS', 'West', '201A-A']"
1,265647131,"['BS', 'West', '201A-B']"
2,712701549,"['BS', 'West', '201A-C']"
3,921219547,"['BS', 'West', '201A-D']"
4,631871578,"['BS', 'West', '201B-A']"
5,834427692,"['BS', 'West', '201B-B']"
6,690739471,"['BS', 'West', '201B-C']"
7,711333981,"['BS', 'West', '201B-D']"
8,855087868,"['BS', 'West', '202A-A']"
9,452113684,"['BS', 'West', '202A-B']"
10,650188802,"['BS', 'West', '202A-C']"
11,970115449,"['BS', 'West', '202A-D']"
12,526322143,"['BS', 'West', '202B-A']"
13,220815256,"['BS', 'West', '202B-B']"
14,826943879,"['BS', 'West', '202B-C']"
15,407128583,"['BS', 'West', '202B-D']"
16,259235621,"['BS', 'West', '203A-A']"
17,545634234,"['BS', 'West', '203A-B']"
18,391871370,"['BS', 'West', '203A-C']"
19,707523766,"['BS', 'West', '203A-D']"
20,796933005,"['BS', 'West', '203B-A']"
21,300040685,"['BS', 'West', '203B-B']"
22,356942659,"['BS', 'West', '203B-C']"
23,404132341,"['BS', 'West', '203B-D']"
24,348938666,"['BS', 'West', '204A-A']"
25,778271980,"['BS', 'West', '204A-B']"
26,161272609,"['BS', 'West', '204A-C']"
27,599537905,"['BS', 'West', '204A-D']"
28,903239111,"['BS', 'West', '204B-A']"
29,160758333,"['JA', '800 - 815', '800-A']"
30,530272104,"['JA', '800 - 815', '800-B']"
31,954573565,"['JA', '800 - 815', '801-A']"
32,920528378,"['JA', '800 - 815', '801-B']"
33,890521559,"['JA', '800 - 815', '802-A']"
34,259710294,"['JA', '800 - 815', '802-B']"
35,985459370,"['JA', '800 - 815', '803-A']"
36,497803669,"['JA', '800 - 815', '803-B']"
37,623439982,"['JA', '800 - 815', '808-A']"
38,770349011,"['JA', '800 - 815', '808-B']"
39,752365295,"['JA', '800 - 815', '809-A']"
40,584783331,"['JA', '800 - 815', '809-B']"
41,642688793,"['JA', '800 - 815', '810-A']"
42,266978214,"['JA', '800 - 815', '810-B']"
43,225736889,"['JA', '800 - 815', '811-A']"
44,916901910,"['JA', '800 - 815', '811-B']"
