,RUID,Assigned Rooms
0,668720571,"['BS', 'West', '201A-A']"
1,406745437,"['BS', 'West', '201A-B']"
2,386524747,"['BS', 'West', '201A-C']"
3,562751055,"['BS', 'West', '201A-D']"
4,977251658,"['BS', 'West', '201B-A']"
5,819748081,"['BS', 'West', '201B-B']"
6,912675600,"['BS', 'West', '201B-C']"
7,890745606,"['BS', 'West', '201B-D']"
8,903907701,"['BS', 'West', '202A-A']"
9,647489176,"['BS', 'West', '202A-B']"
10,655212468,"['BS', 'West', '202A-C']"
11,570023436,"['BS', 'West', '202A-D']"
12,171035224,"['BS', 'West', '202B-A']"
13,986083320,"['BS', 'West', '202B-B']"
14,874851111,"['BS', 'West', '202B-C']"
15,665079136,"['BS', 'West', '202B-D']"
16,519400092,"['BS', 'West', '203A-A']"
17,874272260,"['BS', 'West', '203A-B']"
18,790721993,"['BS', 'West', '203A-C']"
19,166486603,"['BS', 'West', '203A-D']"
20,840987713,"['BS', 'West', '203B-A']"
21,403912114,"['BS', 'West', '203B-B']"
22,453049578,"['BS', 'West', '203B-C']"
23,774579179,"['BS', 'West', '203B-D']"
24,850115436,"['BS', 'West', '204A-A']"
25,777089352,"['BS', 'West', '204A-B']"
26,843436971,"['BS', 'West', '204A-C']"
27,262618975,"['BS', 'West', '204A-D']"
28,474259550,"['BS', 'West', '204B-A']"
29,745805171,"['BS', 'West', '204B-B']"
30,796806564,"['BS', 'West', '204B-C']"
31,118442075,"['BS', 'West', '204B-D']"
32,473841916,"['BS', 'West', '206-A']"
33,312669093,"['BS', 'West', '206-B']"
34,463608924,"['BS', 'West', '206-C']"
35,489579420,"['BS', 'West', '206-D']"
36,866970757,"['BS', 'West', '208A-A']"
37,606143138,"['BS', 'West', '208A-B']"
38,736233529,"['BS', 'West', '208A-C']"
39,125281709,"['BS', 'West', '208A-D']"
40,202084391,"['BS', 'West', '208B-A']"
41,349597294,"['BS', 'West', '208B-B']"
42,670077337,"['BS', 'West', '208B-C']"
43,767895904,"['BS', 'West', '208B-D']"
44,157634151,"['BS', 'West', '209A-A']"
45,846326213,"['BS', 'West', '209A-B']"
46,683375898,"['BS', 'West', '209A-C']"
47,992731649,"['BS', 'West', '209A-D']"
48,503758743,"['BS', 'West', '209B-A']"
49,876674098,"['BS', 'West', '209B-B']"
50,369050273,"['BS', 'West', '209B-C']"
51,395445271,"['BS', 'West', '209B-D']"
52,941556538,"['BS', 'West', '210A-A']"
53,269560653,"['BS', 'West', '210A-B']"
54,296345096,"['BS', 'West', '210A-C']"
55,998296892,"['BS', 'West', '210A-D']"
56,344087765,"['BS', 'West', '210B-A']"
57,597344439,"['BS', 'West', '210B-B']"
58,452579286,"['BS', 'West', '210B-C']"
59,808053510,"['BS', 'West', '210B-D']"
60,331716086,"['BS', 'West', '211A-A']"
61,972690278,"['BS', 'West', '211A-B']"
62,316048779,"['BS', 'West', '211A-C']"
63,855743068,"['BS', 'West', '211A-D']"
64,172581980,"['BS', 'West', '211B-A']"
65,261517324,"['BS', 'West', '211B-B']"
66,557782623,"['BS', 'West', '211B-C']"
67,996544233,"['BS', 'West', '211B-D']"
68,436557295,"['BS', 'West', '212A-A']"
69,261067320,"['BS', 'West', '212A-B']"
70,314094887,"['BS', 'West', '212A-C']"
71,957241549,"['BS', 'West', '212A-D']"
72,970932882,"['BS', 'West', '212B-A']"
73,938001654,"['BS', 'West', '212B-B']"
74,385992529,"['BS', 'West', '212B-C']"
75,357404337,"['BS', 'West', '212B-D']"
76,974009663,"['BS', 'West', '213-A']"
77,336846227,"['BS', 'West', '213-B']"
78,339751984,"['BS', 'West', '213-C']"
79,149703463,"['BS', 'West', '213-D']"
80,523141954,"['BS', 'West', '301A-A']"
81,654033238,"['BS', 'West', '301A-B']"
82,872162279,"['BS', 'West', '301A-C']"
83,179064761,"['BS', 'West', '301A-D']"
84,643350458,"['BS', 'West', '301B-A']"
85,335292927,"['BS', 'West', '301B-B']"
86,798703335,"['BS', 'West', '301B-C']"
87,367129600,"['BS', 'West', '301B-D']"
88,799224043,"['BS', 'West', '302A-A']"
89,192513849,"['BS', 'West', '302A-B']"
90,574753715,"['BS', 'West', '302A-C']"
91,181028830,"['BS', 'West', '302A-D']"
92,613412016,"['BS', 'West', '302B-A']"
93,657763678,"['BS', 'West', '302B-B']"
94,268694005,"['BS', 'West', '302B-C']"
95,155800725,"['BS', 'West', '302B-D']"
96,929205572,"['BS', 'West', '303A-A']"
97,164295001,"['BS', 'West', '303A-B']"
98,811655687,"['BS', 'West', '303A-C']"
