,RUID,Assigned Rooms
0,398441009,"['BS', 'West', '201A-A']"
1,769419315,"['BS', 'West', '201A-B']"
2,725222199,"['BS', 'West', '201A-C']"
3,448210531,"['BS', 'West', '201A-D']"
4,553869593,"['BS', 'West', '201B-A']"
5,564873747,"['BS', 'West', '201B-B']"
6,580527201,"['BS', 'West', '201B-C']"
7,605175125,"['BS', 'West', '201B-D']"
8,414432622,"['BS', 'West', '202A-A']"
9,416478612,"['BS', 'West', '202A-B']"
10,792883217,"['BS', 'West', '202A-C']"
11,958726231,"['BS', 'West', '202A-D']"
12,117850272,"['BS', 'West', '202B-A']"
13,516246585,"['BS', 'West', '202B-B']"
14,995554668,"['BS', 'West', '202B-C']"
15,442719822,"['BS', 'West', '202B-D']"
16,475760257,"['BS', 'West', '203A-A']"
17,546291666,"['BS', 'West', '203A-B']"
18,542354197,"['BS', 'West', '203A-C']"
19,674915868,"['BS', 'West', '203A-D']"
20,355885095,"['BS', 'West', '203B-A']"
21,267311386,"['BS', 'West', '203B-B']"
22,655485904,"['BS', 'West', '203B-C']"
23,335397921,"['BS', 'West', '203B-D']"
24,754339370,"['BS', 'West', '204A-A']"
25,493945024,"['BS', 'West', '204A-B']"
26,445697834,"['BS', 'West', '204A-C']"
27,473968594,"['BS', 'West', '204A-D']"
28,930699028,"['BS', 'West', '204B-A']"
29,346095831,"['BS', 'West', '204B-B']"
30,956975490,"['BS', 'West', '204B-C']"
31,837161417,"['BS', 'West', '204B-D']"
32,169527929,"['BS', 'West', '206-A']"
33,150418196,"['BS', 'West', '206-B']"
34,257518364,"['BS', 'West', '206-C']"
35,707079521,"['BS', 'West', '206-D']"
36,768865697,"['BS', 'West', '208A-A']"
37,773027252,"['BS', 'West', '208A-B']"
38,171337237,"['BS', 'West', '208A-C']"
39,325250701,"['BS', 'West', '208A-D']"
40,503887665,"['BS', 'West', '208B-A']"
41,562446257,"['BS', 'West', '208B-B']"
42,694708239,"['BS', 'West', '208B-C']"
43,336566289,"['BS', 'West', '208B-D']"
44,916246601,"['BS', 'West', '209A-A']"
45,157034590,"['BS', 'West', '209A-B']"
46,331589735,"['BS', 'West', '209A-C']"
47,775811396,"['BS', 'West', '209A-D']"
48,921624984,"['BS', 'West', '209B-A']"
49,390017470,"['BS', 'West', '209B-B']"
50,546177492,"['BS', 'West', '209B-C']"
51,207159770,"['BS', 'West', '209B-D']"
52,729555442,"['BS', 'West', '210A-A']"
53,229802511,"['BS', 'West', '210A-B']"
54,740637216,"['BS', 'West', '210A-C']"
55,331700770,"['BS', 'West', '210A-D']"
56,364433968,"['BS', 'West', '210B-A']"
57,746676999,"['BS', 'West', '210B-B']"
58,984388449,"['BS', 'West', '210B-C']"
59,673614739,"['BS', 'West', '210B-D']"
60,822866954,"['BS', 'West', '211A-A']"
61,367985741,"['BS', 'West', '211A-B']"
62,163409034,"['BS', 'West', '211A-C']"
63,599471311,"['BS', 'West', '211A-D']"
64,368663859,"['BS', 'West', '211B-A']"
65,939013438,"['BS', 'West', '211B-B']"
66,847240624,"['BS', 'West', '211B-C']"
67,119293397,"['BS', 'West', '211B-D']"
68,462642656,"['BS', 'West', '212A-A']"
69,509546106,"['BS', 'West', '212A-B']"
70,840951437,"['BS', 'West', '212A-C']"
71,984598220,"['BS', 'West', '212A-D']"
72,804650718,"['BS', 'West', '212B-A']"
73,442726116,"['BS', 'West', '212B-B']"
74,916623081,"['BS', 'West', '212B-C']"
75,622176025,"['BS', 'West', '212B-D']"
76,851502925,"['BS', 'West', '213-A']"
77,908386130,"['BS', 'West', '213-B']"
78,737783679,"['BS', 'West', '213-C']"
79,921673619,"['BS', 'West', '213-D']"
80,562417715,"['BS', 'West', '301A-A']"
81,664645694,"['BS', 'West', '301A-B']"
82,969334913,"['BS', 'West', '301A-C']"
83,813897881,"['BS', 'West', '301A-D']"
